Results for node = 1
    time [m]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   1.5000E-01      2.9600E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   3.2500E-01      2.9950E+02      0.0000E+00      0.0000E+00      4.8679E-02      1.9995E+02   
   5.0000E-01      3.0300E+02      0.0000E+00      0.0000E+00      4.8685E-02      1.9995E+02   
   6.7500E-01      3.0650E+02      0.0000E+00      0.0000E+00      4.8696E-02      1.9995E+02   
   8.5000E-01      3.1000E+02      0.0000E+00      0.0000E+00      4.8714E-02      1.9995E+02   
   1.0250E+00      3.1350E+02      0.0000E+00      0.0000E+00      4.8744E-02      1.9995E+02   
   1.2000E+00      3.1700E+02      0.0000E+00      0.0000E+00      4.8789E-02      1.9995E+02   
   1.3750E+00      3.2050E+02      0.0000E+00      0.0000E+00      4.8858E-02      1.9995E+02   
   1.5500E+00      3.2400E+02      0.0000E+00      0.0000E+00      4.8959E-02      1.9995E+02   
   1.7250E+00      3.2750E+02      0.0000E+00      0.0000E+00      4.9105E-02      1.9995E+02   
   1.9000E+00      3.3100E+02      0.0000E+00      0.0000E+00      4.9311E-02      1.9995E+02   
   2.0750E+00      3.3450E+02      0.0000E+00      0.0000E+00      4.9601E-02      1.9995E+02   
   2.2500E+00      3.3800E+02      0.0000E+00      0.0000E+00      5.0002E-02      1.9995E+02   
   2.4250E+00      3.4150E+02      0.0000E+00      0.0000E+00      5.0551E-02      1.9995E+02   
   2.6000E+00      3.4500E+02      0.0000E+00      0.0000E+00      5.1297E-02      1.9995E+02   
   2.7750E+00      3.4850E+02      0.0000E+00      0.0000E+00      5.2299E-02      1.9995E+02   
   2.9500E+00      3.5200E+02      0.0000E+00      0.0000E+00      5.3637E-02      1.9995E+02   
   3.1250E+00      3.5550E+02      0.0000E+00      0.0000E+00      5.5408E-02      1.9994E+02   
   3.3000E+00      3.5900E+02      0.0000E+00      0.0000E+00      5.7737E-02      1.9994E+02   
   3.4750E+00      3.6250E+02      0.0000E+00      0.0000E+00      6.0777E-02      1.9994E+02   
   3.6500E+00      3.6600E+02      0.0000E+00      0.0000E+00      6.4721E-02      1.9994E+02   
   3.8250E+00      3.6950E+02      0.0000E+00      0.0000E+00      6.9806E-02      1.9993E+02   
   4.0000E+00      3.7300E+02      0.0000E+00      0.0000E+00      7.6322E-02      1.9992E+02   
   4.1750E+00      3.7650E+02      0.0000E+00      0.0000E+00      8.4624E-02      1.9992E+02   
   4.3500E+00      3.8000E+02      0.0000E+00      0.0000E+00      9.5141E-02      1.9990E+02   
   4.5250E+00      3.8350E+02      0.0000E+00      0.0000E+00      1.0839E-01      1.9989E+02   
   4.7000E+00      3.8700E+02      0.0000E+00      0.0000E+00      1.2500E-01      1.9988E+02   
   4.8750E+00      3.9050E+02      0.0000E+00      0.0000E+00      1.4569E-01      1.9985E+02   
   5.0500E+00      3.9400E+02      0.0000E+00      0.0000E+00      1.7136E-01      1.9983E+02   
   5.2250E+00      3.9750E+02      0.0000E+00      0.0000E+00      2.0302E-01      1.9980E+02   
   5.4000E+00      4.0100E+02      0.0000E+00      0.0000E+00      2.4188E-01      1.9976E+02   
   5.5750E+00      4.0450E+02      0.0000E+00      0.0000E+00      2.8932E-01      1.9971E+02   
   5.7500E+00      4.0800E+02      0.0000E+00      0.0000E+00      3.4695E-01      1.9965E+02   
   5.9250E+00      4.1150E+02      0.0000E+00      0.0000E+00      4.1661E-01      1.9958E+02   
   6.1000E+00      4.1500E+02      0.0000E+00      0.0000E+00      5.0035E-01      1.9950E+02   
   6.2750E+00      4.1850E+02      0.0000E+00      0.0000E+00      6.0053E-01      1.9940E+02   
   6.4500E+00      4.2200E+02      0.0000E+00      0.0000E+00      7.1973E-01      1.9928E+02   
   6.6250E+00      4.2550E+02      0.0000E+00      0.0000E+00      8.6082E-01      1.9914E+02   
   6.8000E+00      4.2900E+02      0.0000E+00      0.0000E+00      1.0269E+00      1.9897E+02   
   6.9750E+00      4.3250E+02      0.0000E+00      0.0000E+00      1.2214E+00      1.9878E+02   
   7.1500E+00      4.3600E+02      0.0000E+00      0.0000E+00      1.4479E+00      1.9855E+02   
   7.3250E+00      4.3950E+02      0.0000E+00      0.0000E+00      1.7102E+00      1.9829E+02   
   7.4919E+00      4.4284E+02      0.0000E+00      0.0000E+00      1.9976E+00      1.9800E+02   
   7.6625E+00      4.4625E+02      0.0000E+00      0.0000E+00      2.3343E+00      1.9767E+02   
   7.8338E+00      4.4968E+02      0.0000E+00      0.0000E+00      2.7184E+00      1.9728E+02   
   8.0030E+00      4.5306E+02      0.0000E+00      0.0000E+00      3.1469E+00      1.9685E+02   
   8.1799E+00      4.5660E+02      0.0000E+00      0.0000E+00      3.6508E+00      1.9635E+02   
   8.3493E+00      4.5999E+02      0.0000E+00      0.0000E+00      4.1911E+00      1.9581E+02   
   8.5224E+00      4.6345E+02      0.0000E+00      0.0000E+00      4.8045E+00      1.9520E+02   
   8.6980E+00      4.6696E+02      0.0000E+00      0.0000E+00      5.4928E+00      1.9451E+02   
   8.8741E+00      4.7048E+02      0.0000E+00      0.0000E+00      6.2530E+00      1.9375E+02   
   9.0482E+00      4.7396E+02      0.0000E+00      0.0000E+00      7.0752E+00      1.9292E+02   
   9.2170E+00      4.7734E+02      0.0000E+00      0.0000E+00      7.9410E+00      1.9206E+02   
   9.4046E+00      4.8109E+02      0.0000E+00      0.0000E+00      8.9828E+00      1.9102E+02   
   9.5835E+00      4.8467E+02      0.0000E+00      0.0000E+00      1.0055E+01      1.8994E+02   
   9.7828E+00      4.8866E+02      0.0000E+00      0.0000E+00      1.1340E+01      1.8866E+02   
   9.9680E+00      4.9236E+02      0.0000E+00      0.0000E+00      1.2618E+01      1.8738E+02   
   1.0175E+01      4.9649E+02      0.0000E+00      0.0000E+00      1.4137E+01      1.8586E+02   
   1.0358E+01      5.0017E+02      0.0000E+00      0.0000E+00      1.5571E+01      1.8443E+02   
   1.0563E+01      5.0425E+02      0.0000E+00      0.0000E+00      1.7252E+01      1.8275E+02   
   1.0732E+01      5.0764E+02      0.0000E+00      0.0000E+00      1.8714E+01      1.8129E+02   
   1.0917E+01      5.1135E+02      0.0000E+00      0.0000E+00      2.0390E+01      1.7961E+02   
   1.1123E+01      5.1545E+02      0.0000E+00      0.0000E+00      2.2332E+01      1.7767E+02   
   1.1352E+01      5.2004E+02      0.0000E+00      0.0000E+00      2.4610E+01      1.7539E+02   
   1.1521E+01      5.2341E+02      0.0000E+00      0.0000E+00      2.6366E+01      1.7363E+02   
   1.1705E+01      5.2710E+02      0.0000E+00      0.0000E+00      2.8356E+01      1.7164E+02   
   1.1907E+01      5.3114E+02      0.0000E+00      0.0000E+00      3.0638E+01      1.6936E+02   
   1.2131E+01      5.3562E+02      0.0000E+00      0.0000E+00      3.3287E+01      1.6671E+02   
   1.2381E+01      5.4062E+02      0.0000E+00      0.0000E+00      3.6408E+01      1.6359E+02   
   1.2656E+01      5.4613E+02      0.0000E+00      0.0000E+00      3.9761E+01      1.6024E+02   
   1.2914E+01      5.5128E+02      0.0000E+00      0.0000E+00      4.2970E+01      1.5703E+02   
   1.3150E+01      5.5600E+02      0.0000E+00      0.0000E+00      4.6053E+01      1.5395E+02   
   1.3368E+01      5.6036E+02      0.0000E+00      0.0000E+00      4.9028E+01      1.5097E+02   
   1.3570E+01      5.6440E+02      0.0000E+00      0.0000E+00      5.1907E+01      1.4809E+02   
   1.3759E+01      5.6819E+02      0.0000E+00      0.0000E+00      5.4702E+01      1.4530E+02   
   1.3937E+01      5.7175E+02      0.0000E+00      0.0000E+00      5.7421E+01      1.4258E+02   
   1.4105E+01      5.7511E+02      0.0000E+00      0.0000E+00      6.0072E+01      1.3993E+02   
   1.4341E+01      5.7982E+02      0.0000E+00      0.0000E+00      6.3933E+01      1.3607E+02   
   1.4560E+01      5.8421E+02      0.0000E+00      0.0000E+00      6.7672E+01      1.3233E+02   
   1.4765E+01      5.8830E+02      0.0000E+00      0.0000E+00      7.1301E+01      1.2870E+02   
   1.4958E+01      5.9216E+02      0.0000E+00      0.0000E+00      7.4833E+01      1.2517E+02   
   1.5140E+01      5.9579E+02      0.0000E+00      0.0000E+00      7.8276E+01      1.2172E+02   
   1.5312E+01      5.9924E+02      0.0000E+00      0.0000E+00      8.1638E+01      1.1836E+02   
   1.5528E+01      6.0357E+02      0.0000E+00      0.0000E+00      8.6007E+01      1.1399E+02   
   1.5732E+01      6.0764E+02      0.0000E+00      0.0000E+00      9.0258E+01      1.0974E+02   
   1.5924E+01      6.1148E+02      0.0000E+00      0.0000E+00      9.4402E+01      1.0560E+02   
   1.6106E+01      6.1513E+02      0.0000E+00      0.0000E+00      9.8449E+01      1.0155E+02   
   1.6279E+01      6.1859E+02      0.0000E+00      0.0000E+00      1.0241E+02      9.7594E+01   
   1.6485E+01      6.2269E+02      0.0000E+00      0.0000E+00      1.0724E+02      9.2763E+01   
   1.6679E+01      6.2658E+02      0.0000E+00      0.0000E+00      1.1195E+02      8.8050E+01   
   1.6863E+01      6.3026E+02      0.0000E+00      0.0000E+00      1.1656E+02      8.3444E+01   
   1.7039E+01      6.3377E+02      0.0000E+00      0.0000E+00      1.2106E+02      7.8936E+01   
   1.7206E+01      6.3713E+02      0.0000E+00      0.0000E+00      1.2548E+02      7.4521E+01   
   1.7398E+01      6.4097E+02      0.0000E+00      0.0000E+00      1.3067E+02      6.9333E+01   
   1.7581E+01      6.4462E+02      0.0000E+00      0.0000E+00      1.3574E+02      6.4258E+01   
   1.7756E+01      6.4811E+02      0.0000E+00      0.0000E+00      1.4071E+02      5.9288E+01   
   1.7923E+01      6.5145E+02      0.0000E+00      0.0000E+00      1.4559E+02      5.4413E+01   
   1.8109E+01      6.5518E+02      0.0000E+00      0.0000E+00      1.5116E+02      4.8840E+01   
   1.8287E+01      6.5874E+02      0.0000E+00      0.0000E+00      1.5662E+02      4.3381E+01   
   1.8458E+01      6.6216E+02      0.0000E+00      0.0000E+00      1.6197E+02      3.8027E+01   
   1.8644E+01      6.6589E+02      0.0000E+00      0.0000E+00      1.6797E+02      3.2029E+01   
   1.8823E+01      6.6946E+02      0.0000E+00      0.0000E+00      1.7385E+02      2.6149E+01   
   1.8994E+01      6.7289E+02      0.0000E+00      0.0000E+00      1.7962E+02      2.0381E+01   
   1.9179E+01      6.7658E+02      0.0000E+00      0.0000E+00      1.8598E+02      1.4016E+01   
