Results for node = 1
    time [m]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   1.7500E-01      2.9475E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   3.0000E-01      2.9600E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   4.7500E-01      2.9775E+02      0.0000E+00      0.0000E+00      4.8679E-02      1.9995E+02   
   6.5000E-01      2.9950E+02      0.0000E+00      0.0000E+00      4.8682E-02      1.9995E+02   
   8.2500E-01      3.0125E+02      0.0000E+00      0.0000E+00      4.8687E-02      1.9995E+02   
   1.0000E+00      3.0300E+02      0.0000E+00      0.0000E+00      4.8694E-02      1.9995E+02   
   1.1750E+00      3.0475E+02      0.0000E+00      0.0000E+00      4.8703E-02      1.9995E+02   
   1.3500E+00      3.0650E+02      0.0000E+00      0.0000E+00      4.8715E-02      1.9995E+02   
   1.5250E+00      3.0825E+02      0.0000E+00      0.0000E+00      4.8731E-02      1.9995E+02   
   1.7000E+00      3.1000E+02      0.0000E+00      0.0000E+00      4.8752E-02      1.9995E+02   
   1.8750E+00      3.1175E+02      0.0000E+00      0.0000E+00      4.8778E-02      1.9995E+02   
   2.0500E+00      3.1350E+02      0.0000E+00      0.0000E+00      4.8810E-02      1.9995E+02   
   2.2250E+00      3.1525E+02      0.0000E+00      0.0000E+00      4.8851E-02      1.9995E+02   
   2.4000E+00      3.1700E+02      0.0000E+00      0.0000E+00      4.8901E-02      1.9995E+02   
   2.5750E+00      3.1875E+02      0.0000E+00      0.0000E+00      4.8963E-02      1.9995E+02   
   2.7500E+00      3.2050E+02      0.0000E+00      0.0000E+00      4.9038E-02      1.9995E+02   
   2.9250E+00      3.2225E+02      0.0000E+00      0.0000E+00      4.9129E-02      1.9995E+02   
   3.1000E+00      3.2400E+02      0.0000E+00      0.0000E+00      4.9239E-02      1.9995E+02   
   3.2750E+00      3.2575E+02      0.0000E+00      0.0000E+00      4.9370E-02      1.9995E+02   
   3.4500E+00      3.2750E+02      0.0000E+00      0.0000E+00      4.9528E-02      1.9995E+02   
   3.6250E+00      3.2925E+02      0.0000E+00      0.0000E+00      4.9716E-02      1.9995E+02   
   3.8000E+00      3.3100E+02      0.0000E+00      0.0000E+00      4.9939E-02      1.9995E+02   
   3.9750E+00      3.3275E+02      0.0000E+00      0.0000E+00      5.0202E-02      1.9995E+02   
   4.1500E+00      3.3450E+02      0.0000E+00      0.0000E+00      5.0513E-02      1.9995E+02   
   4.3250E+00      3.3625E+02      0.0000E+00      0.0000E+00      5.0880E-02      1.9995E+02   
   4.5000E+00      3.3800E+02      0.0000E+00      0.0000E+00      5.1309E-02      1.9995E+02   
   4.6750E+00      3.3975E+02      0.0000E+00      0.0000E+00      5.1811E-02      1.9995E+02   
   4.8500E+00      3.4150E+02      0.0000E+00      0.0000E+00      5.2398E-02      1.9995E+02   
   5.0250E+00      3.4325E+02      0.0000E+00      0.0000E+00      5.3081E-02      1.9995E+02   
   5.2000E+00      3.4500E+02      0.0000E+00      0.0000E+00      5.3874E-02      1.9995E+02   
   5.3750E+00      3.4675E+02      0.0000E+00      0.0000E+00      5.4794E-02      1.9995E+02   
