Results for node = 1
    time [m]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   1.7500E-01      2.9387E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   3.5000E-01      2.9475E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   5.2500E-01      2.9562E+02      0.0000E+00      0.0000E+00      4.8678E-02      1.9995E+02   
   5.9167E-01      2.9596E+02      0.0000E+00      0.0000E+00      4.8678E-02      1.9995E+02   
   7.6667E-01      2.9683E+02      0.0000E+00      0.0000E+00      4.8680E-02      1.9995E+02   
   9.4167E-01      2.9771E+02      0.0000E+00      0.0000E+00      4.8682E-02      1.9995E+02   
   1.1167E+00      2.9858E+02      0.0000E+00      0.0000E+00      4.8685E-02      1.9995E+02   
   1.2917E+00      2.9946E+02      0.0000E+00      0.0000E+00      4.8688E-02      1.9995E+02   
   1.4667E+00      3.0033E+02      0.0000E+00      0.0000E+00      4.8692E-02      1.9995E+02   
   1.6417E+00      3.0121E+02      0.0000E+00      0.0000E+00      4.8697E-02      1.9995E+02   
   1.8167E+00      3.0208E+02      0.0000E+00      0.0000E+00      4.8703E-02      1.9995E+02   
   1.9917E+00      3.0296E+02      0.0000E+00      0.0000E+00      4.8711E-02      1.9995E+02   
   2.1667E+00      3.0383E+02      0.0000E+00      0.0000E+00      4.8719E-02      1.9995E+02   
   2.3417E+00      3.0471E+02      0.0000E+00      0.0000E+00      4.8729E-02      1.9995E+02   
   2.5167E+00      3.0558E+02      0.0000E+00      0.0000E+00      4.8740E-02      1.9995E+02   
   2.6917E+00      3.0646E+02      0.0000E+00      0.0000E+00      4.8753E-02      1.9995E+02   
   2.8667E+00      3.0733E+02      0.0000E+00      0.0000E+00      4.8768E-02      1.9995E+02   
   3.0417E+00      3.0821E+02      0.0000E+00      0.0000E+00      4.8785E-02      1.9995E+02   
   3.2167E+00      3.0908E+02      0.0000E+00      0.0000E+00      4.8804E-02      1.9995E+02   
   3.3917E+00      3.0996E+02      0.0000E+00      0.0000E+00      4.8825E-02      1.9995E+02   
   3.5667E+00      3.1083E+02      0.0000E+00      0.0000E+00      4.8850E-02      1.9995E+02   
   3.7417E+00      3.1171E+02      0.0000E+00      0.0000E+00      4.8877E-02      1.9995E+02   
   3.9167E+00      3.1258E+02      0.0000E+00      0.0000E+00      4.8908E-02      1.9995E+02   
   4.0917E+00      3.1346E+02      0.0000E+00      0.0000E+00      4.8942E-02      1.9995E+02   
   4.2667E+00      3.1433E+02      0.0000E+00      0.0000E+00      4.8980E-02      1.9995E+02   
   4.4417E+00      3.1521E+02      0.0000E+00      0.0000E+00      4.9022E-02      1.9995E+02   
   4.6167E+00      3.1608E+02      0.0000E+00      0.0000E+00      4.9070E-02      1.9995E+02   
   4.7917E+00      3.1696E+02      0.0000E+00      0.0000E+00      4.9122E-02      1.9995E+02   
   4.9667E+00      3.1783E+02      0.0000E+00      0.0000E+00      4.9180E-02      1.9995E+02   
   5.1417E+00      3.1871E+02      0.0000E+00      0.0000E+00      4.9244E-02      1.9995E+02   
