Results for node = 1
    time [h]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   3.3472E-02      2.9461E+02      0.0000E+00      0.0000E+00      4.8680E-02      1.9995E+02   
   6.6944E-02      2.9621E+02      0.0000E+00      0.0000E+00      4.8691E-02      1.9995E+02   
   1.0042E-01      2.9782E+02      0.0000E+00      0.0000E+00      4.8714E-02      1.9995E+02   
   1.3389E-01      2.9943E+02      0.0000E+00      0.0000E+00      4.8749E-02      1.9995E+02   
   1.6736E-01      3.0103E+02      0.0000E+00      0.0000E+00      4.8801E-02      1.9995E+02   
   2.0083E-01      3.0264E+02      0.0000E+00      0.0000E+00      4.8873E-02      1.9995E+02   
   2.3431E-01      3.0425E+02      0.0000E+00      0.0000E+00      4.8969E-02      1.9995E+02   
   2.6778E-01      3.0585E+02      0.0000E+00      0.0000E+00      4.9096E-02      1.9995E+02   
   3.0125E-01      3.0746E+02      0.0000E+00      0.0000E+00      4.9258E-02      1.9995E+02   
   3.0528E-01      3.0765E+02      0.0000E+00      0.0000E+00      4.9280E-02      1.9995E+02   
   3.3875E-01      3.0926E+02      0.0000E+00      0.0000E+00      4.9491E-02      1.9995E+02   
   3.7222E-01      3.1087E+02      0.0000E+00      0.0000E+00      4.9754E-02      1.9995E+02   
   4.0569E-01      3.1247E+02      0.0000E+00      0.0000E+00      5.0079E-02      1.9995E+02   
   4.3917E-01      3.1408E+02      0.0000E+00      0.0000E+00      5.0477E-02      1.9995E+02   
   4.7264E-01      3.1569E+02      0.0000E+00      0.0000E+00      5.0960E-02      1.9995E+02   
   5.0611E-01      3.1729E+02      0.0000E+00      0.0000E+00      5.1544E-02      1.9995E+02   
   5.3958E-01      3.1890E+02      0.0000E+00      0.0000E+00      5.2246E-02      1.9995E+02   
   5.7306E-01      3.2051E+02      0.0000E+00      0.0000E+00      5.3083E-02      1.9995E+02   
   6.0653E-01      3.2211E+02      0.0000E+00      0.0000E+00      5.4078E-02      1.9995E+02   
   6.4000E-01      3.2372E+02      0.0000E+00      0.0000E+00      5.5256E-02      1.9994E+02   
   6.7347E-01      3.2533E+02      0.0000E+00      0.0000E+00      5.6644E-02      1.9994E+02   
   7.0694E-01      3.2693E+02      0.0000E+00      0.0000E+00      5.8272E-02      1.9994E+02   
   7.4042E-01      3.2854E+02      0.0000E+00      0.0000E+00      6.0177E-02      1.9994E+02   
