Results for node = 1
    time [m]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   1.7500E-01      2.9440E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   3.5000E-01      2.9580E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   3.6667E-01      2.9593E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   5.4167E-01      2.9733E+02      0.0000E+00      0.0000E+00      4.8679E-02      1.9995E+02   
   7.1667E-01      2.9873E+02      0.0000E+00      0.0000E+00      4.8682E-02      1.9995E+02   
   8.9167E-01      3.0013E+02      0.0000E+00      0.0000E+00      4.8686E-02      1.9995E+02   
   1.0667E+00      3.0153E+02      0.0000E+00      0.0000E+00      4.8691E-02      1.9995E+02   
   1.2417E+00      3.0293E+02      0.0000E+00      0.0000E+00      4.8698E-02      1.9995E+02   
   1.4167E+00      3.0433E+02      0.0000E+00      0.0000E+00      4.8706E-02      1.9995E+02   
   1.5917E+00      3.0573E+02      0.0000E+00      0.0000E+00      4.8718E-02      1.9995E+02   
   1.7667E+00      3.0713E+02      0.0000E+00      0.0000E+00      4.8731E-02      1.9995E+02   
   1.9417E+00      3.0853E+02      0.0000E+00      0.0000E+00      4.8748E-02      1.9995E+02   
   2.1167E+00      3.0993E+02      0.0000E+00      0.0000E+00      4.8769E-02      1.9995E+02   
   2.2917E+00      3.1133E+02      0.0000E+00      0.0000E+00      4.8794E-02      1.9995E+02   
   2.4667E+00      3.1273E+02      0.0000E+00      0.0000E+00      4.8825E-02      1.9995E+02   
   2.6417E+00      3.1413E+02      0.0000E+00      0.0000E+00      4.8861E-02      1.9995E+02   
   2.8167E+00      3.1553E+02      0.0000E+00      0.0000E+00      4.8904E-02      1.9995E+02   
   2.9917E+00      3.1693E+02      0.0000E+00      0.0000E+00      4.8955E-02      1.9995E+02   
   3.1667E+00      3.1833E+02      0.0000E+00      0.0000E+00      4.9014E-02      1.9995E+02   
   3.3417E+00      3.1973E+02      0.0000E+00      0.0000E+00      4.9084E-02      1.9995E+02   
   3.5167E+00      3.2113E+02      0.0000E+00      0.0000E+00      4.9166E-02      1.9995E+02   
   3.6917E+00      3.2253E+02      0.0000E+00      0.0000E+00      4.9262E-02      1.9995E+02   
   3.8667E+00      3.2393E+02      0.0000E+00      0.0000E+00      4.9372E-02      1.9995E+02   
   4.0417E+00      3.2533E+02      0.0000E+00      0.0000E+00      4.9501E-02      1.9995E+02   
   4.2167E+00      3.2673E+02      0.0000E+00      0.0000E+00      4.9649E-02      1.9995E+02   
   4.3917E+00      3.2813E+02      0.0000E+00      0.0000E+00      4.9819E-02      1.9995E+02   
   4.5667E+00      3.2953E+02      0.0000E+00      0.0000E+00      5.0015E-02      1.9995E+02   
   4.7417E+00      3.3093E+02      0.0000E+00      0.0000E+00      5.0240E-02      1.9995E+02   
   4.9167E+00      3.3233E+02      0.0000E+00      0.0000E+00      5.0497E-02      1.9995E+02   
   5.0917E+00      3.3373E+02      0.0000E+00      0.0000E+00      5.0790E-02      1.9995E+02   
   5.2667E+00      3.3513E+02      0.0000E+00      0.0000E+00      5.1125E-02      1.9995E+02   
   5.4417E+00      3.3653E+02      0.0000E+00      0.0000E+00      5.1505E-02      1.9995E+02   
   5.6167E+00      3.3793E+02      0.0000E+00      0.0000E+00      5.1938E-02      1.9995E+02   
   5.7917E+00      3.3933E+02      0.0000E+00      0.0000E+00      5.2428E-02      1.9995E+02   
   5.9667E+00      3.4073E+02      0.0000E+00      0.0000E+00      5.2983E-02      1.9995E+02   
   6.1417E+00      3.4213E+02      0.0000E+00      0.0000E+00      5.3610E-02      1.9995E+02   
   6.3167E+00      3.4353E+02      0.0000E+00      0.0000E+00      5.4317E-02      1.9995E+02   
   6.4917E+00      3.4493E+02      0.0000E+00      0.0000E+00      5.5114E-02      1.9994E+02   
   6.6667E+00      3.4633E+02      0.0000E+00      0.0000E+00      5.6012E-02      1.9994E+02   
   6.8417E+00      3.4773E+02      0.0000E+00      0.0000E+00      5.7020E-02      1.9994E+02   
   7.0167E+00      3.4913E+02      0.0000E+00      0.0000E+00      5.8151E-02      1.9994E+02   
   7.1917E+00      3.5053E+02      0.0000E+00      0.0000E+00      5.9419E-02      1.9994E+02   
   7.3667E+00      3.5193E+02      0.0000E+00      0.0000E+00      6.0838E-02      1.9994E+02   
   7.5417E+00      3.5333E+02      0.0000E+00      0.0000E+00      6.2425E-02      1.9994E+02   
   7.7167E+00      3.5473E+02      0.0000E+00      0.0000E+00      6.4196E-02      1.9994E+02   
   7.8917E+00      3.5613E+02      0.0000E+00      0.0000E+00      6.6171E-02      1.9993E+02   
   8.0667E+00      3.5753E+02      0.0000E+00      0.0000E+00      6.8370E-02      1.9993E+02   
   8.2417E+00      3.5893E+02      0.0000E+00      0.0000E+00      7.0818E-02      1.9993E+02   
   8.4167E+00      3.6033E+02      0.0000E+00      0.0000E+00      7.3537E-02      1.9993E+02   
   8.5917E+00      3.6173E+02      0.0000E+00      0.0000E+00      7.6555E-02      1.9992E+02   
   8.7667E+00      3.6313E+02      0.0000E+00      0.0000E+00      7.9901E-02      1.9992E+02   
   8.9417E+00      3.6453E+02      0.0000E+00      0.0000E+00      8.3607E-02      1.9992E+02   
   9.1167E+00      3.6593E+02      0.0000E+00      0.0000E+00      8.7706E-02      1.9991E+02   
   9.2917E+00      3.6733E+02      0.0000E+00      0.0000E+00      9.2236E-02      1.9991E+02   
   9.4667E+00      3.6873E+02      0.0000E+00      0.0000E+00      9.7237E-02      1.9990E+02   
   9.6417E+00      3.7013E+02      0.0000E+00      0.0000E+00      1.0275E-01      1.9990E+02   
   9.8167E+00      3.7153E+02      0.0000E+00      0.0000E+00      1.0882E-01      1.9989E+02   
   9.9917E+00      3.7293E+02      0.0000E+00      0.0000E+00      1.1551E-01      1.9988E+02   
   1.0167E+01      3.7433E+02      0.0000E+00      0.0000E+00      1.2285E-01      1.9988E+02   
   1.0342E+01      3.7573E+02      0.0000E+00      0.0000E+00      1.3092E-01      1.9987E+02   
   1.0517E+01      3.7713E+02      0.0000E+00      0.0000E+00      1.3977E-01      1.9986E+02   
   1.0692E+01      3.7853E+02      0.0000E+00      0.0000E+00      1.4946E-01      1.9985E+02   
   1.0867E+01      3.7993E+02      0.0000E+00      0.0000E+00      1.6007E-01      1.9984E+02   
   1.1042E+01      3.8133E+02      0.0000E+00      0.0000E+00      1.7168E-01      1.9983E+02   
   1.1217E+01      3.8273E+02      0.0000E+00      0.0000E+00      1.8436E-01      1.9982E+02   
   1.1392E+01      3.8413E+02      0.0000E+00      0.0000E+00      1.9819E-01      1.9980E+02   
   1.1567E+01      3.8553E+02      0.0000E+00      0.0000E+00      2.1327E-01      1.9979E+02   
   1.1742E+01      3.8693E+02      0.0000E+00      0.0000E+00      2.2970E-01      1.9977E+02   
   1.1917E+01      3.8833E+02      0.0000E+00      0.0000E+00      2.4756E-01      1.9975E+02   
   1.2092E+01      3.8973E+02      0.0000E+00      0.0000E+00      2.6698E-01      1.9973E+02   
   1.2267E+01      3.9113E+02      0.0000E+00      0.0000E+00      2.8806E-01      1.9971E+02   
   1.2442E+01      3.9253E+02      0.0000E+00      0.0000E+00      3.1092E-01      1.9969E+02   
   1.2617E+01      3.9393E+02      0.0000E+00      0.0000E+00      3.3569E-01      1.9966E+02   
   1.2792E+01      3.9533E+02      0.0000E+00      0.0000E+00      3.6250E-01      1.9964E+02   
   1.2967E+01      3.9673E+02      0.0000E+00      0.0000E+00      3.9148E-01      1.9961E+02   
   1.3142E+01      3.9813E+02      0.0000E+00      0.0000E+00      4.2278E-01      1.9958E+02   
   1.3317E+01      3.9953E+02      0.0000E+00      0.0000E+00      4.5654E-01      1.9954E+02   
   1.3492E+01      4.0093E+02      0.0000E+00      0.0000E+00      4.9293E-01      1.9951E+02   
   1.3667E+01      4.0233E+02      0.0000E+00      0.0000E+00      5.3210E-01      1.9947E+02   
   1.3842E+01      4.0373E+02      0.0000E+00      0.0000E+00      5.7421E-01      1.9943E+02   
   1.4017E+01      4.0513E+02      0.0000E+00      0.0000E+00      6.1946E-01      1.9938E+02   
   1.4192E+01      4.0653E+02      0.0000E+00      0.0000E+00      6.6800E-01      1.9933E+02   
   1.4367E+01      4.0793E+02      0.0000E+00      0.0000E+00      7.2003E-01      1.9928E+02   
   1.4542E+01      4.0933E+02      0.0000E+00      0.0000E+00      7.7573E-01      1.9922E+02   
   1.4717E+01      4.1073E+02      0.0000E+00      0.0000E+00      8.3529E-01      1.9916E+02   
   1.4892E+01      4.1213E+02      0.0000E+00      0.0000E+00      8.9891E-01      1.9910E+02   
