Results for node = 1
    time [h]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   3.3472E-02      2.9400E+02      0.0000E+00      0.0000E+00      4.8678E-02      1.9995E+02   
   6.6944E-02      2.9501E+02      0.0000E+00      0.0000E+00      4.8685E-02      1.9995E+02   
   1.0042E-01      2.9601E+02      0.0000E+00      0.0000E+00      4.8697E-02      1.9995E+02   
   1.3389E-01      2.9702E+02      0.0000E+00      0.0000E+00      4.8716E-02      1.9995E+02   
   1.6736E-01      2.9802E+02      0.0000E+00      0.0000E+00      4.8742E-02      1.9995E+02   
   2.0083E-01      2.9902E+02      0.0000E+00      0.0000E+00      4.8776E-02      1.9995E+02   
   2.3431E-01      3.0003E+02      0.0000E+00      0.0000E+00      4.8820E-02      1.9995E+02   
   2.6778E-01      3.0103E+02      0.0000E+00      0.0000E+00      4.8875E-02      1.9995E+02   
   3.0125E-01      3.0204E+02      0.0000E+00      0.0000E+00      4.8943E-02      1.9995E+02   
   3.3472E-01      3.0304E+02      0.0000E+00      0.0000E+00      4.9024E-02      1.9995E+02   
   3.6819E-01      3.0405E+02      0.0000E+00      0.0000E+00      4.9122E-02      1.9995E+02   
   4.0167E-01      3.0505E+02      0.0000E+00      0.0000E+00      4.9238E-02      1.9995E+02   
   4.3514E-01      3.0605E+02      0.0000E+00      0.0000E+00      4.9374E-02      1.9995E+02   
   4.6861E-01      3.0706E+02      0.0000E+00      0.0000E+00      4.9532E-02      1.9995E+02   
   4.8847E-01      3.0765E+02      0.0000E+00      0.0000E+00      4.9638E-02      1.9995E+02   
   5.2194E-01      3.0866E+02      0.0000E+00      0.0000E+00      4.9838E-02      1.9995E+02   
   5.5542E-01      3.0966E+02      0.0000E+00      0.0000E+00      5.0068E-02      1.9995E+02   
   5.8889E-01      3.1067E+02      0.0000E+00      0.0000E+00      5.0332E-02      1.9995E+02   
   6.2236E-01      3.1167E+02      0.0000E+00      0.0000E+00      5.0633E-02      1.9995E+02   
   6.5583E-01      3.1267E+02      0.0000E+00      0.0000E+00      5.0975E-02      1.9995E+02   
   6.8931E-01      3.1368E+02      0.0000E+00      0.0000E+00      5.1363E-02      1.9995E+02   
   7.2278E-01      3.1468E+02      0.0000E+00      0.0000E+00      5.1801E-02      1.9995E+02   
   7.5625E-01      3.1569E+02      0.0000E+00      0.0000E+00      5.2294E-02      1.9995E+02   
   7.8972E-01      3.1669E+02      0.0000E+00      0.0000E+00      5.2849E-02      1.9995E+02   
   8.2319E-01      3.1770E+02      0.0000E+00      0.0000E+00      5.3471E-02      1.9995E+02   
   8.5667E-01      3.1870E+02      0.0000E+00      0.0000E+00      5.4166E-02      1.9995E+02   
   8.9014E-01      3.1970E+02      0.0000E+00      0.0000E+00      5.4943E-02      1.9995E+02   
