Results for node = 1
    time [d]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   2.0891E-03      2.9360E+02      0.0000E+00      0.0000E+00      4.8678E-02      1.9995E+02   
   4.1782E-03      2.9420E+02      0.0000E+00      0.0000E+00      4.8684E-02      1.9995E+02   
   6.2674E-03      2.9480E+02      0.0000E+00      0.0000E+00      4.8694E-02      1.9995E+02   
   8.3565E-03      2.9541E+02      0.0000E+00      0.0000E+00      4.8709E-02      1.9995E+02   
   1.0446E-02      2.9601E+02      0.0000E+00      0.0000E+00      4.8729E-02      1.9995E+02   
   1.2535E-02      2.9661E+02      0.0000E+00      0.0000E+00      4.8754E-02      1.9995E+02   
   1.4624E-02      2.9721E+02      0.0000E+00      0.0000E+00      4.8786E-02      1.9995E+02   
   1.6713E-02      2.9781E+02      0.0000E+00      0.0000E+00      4.8825E-02      1.9995E+02   
   1.8802E-02      2.9841E+02      0.0000E+00      0.0000E+00      4.8870E-02      1.9995E+02   
   2.0891E-02      2.9902E+02      0.0000E+00      0.0000E+00      4.8924E-02      1.9995E+02   
   2.2980E-02      2.9962E+02      0.0000E+00      0.0000E+00      4.8986E-02      1.9995E+02   
   2.5069E-02      3.0022E+02      0.0000E+00      0.0000E+00      4.9057E-02      1.9995E+02   
   2.7159E-02      3.0082E+02      0.0000E+00      0.0000E+00      4.9139E-02      1.9995E+02   
   2.9248E-02      3.0142E+02      0.0000E+00      0.0000E+00      4.9230E-02      1.9995E+02   
   3.1337E-02      3.0202E+02      0.0000E+00      0.0000E+00      4.9334E-02      1.9995E+02   
   3.3426E-02      3.0263E+02      0.0000E+00      0.0000E+00      4.9449E-02      1.9995E+02   
   3.5515E-02      3.0323E+02      0.0000E+00      0.0000E+00      4.9578E-02      1.9995E+02   
   3.7604E-02      3.0383E+02      0.0000E+00      0.0000E+00      4.9721E-02      1.9995E+02   
   3.9693E-02      3.0443E+02      0.0000E+00      0.0000E+00      4.9880E-02      1.9995E+02   
   4.1782E-02      3.0503E+02      0.0000E+00      0.0000E+00      5.0054E-02      1.9995E+02   
   4.3872E-02      3.0563E+02      0.0000E+00      0.0000E+00      5.0246E-02      1.9995E+02   
   4.5961E-02      3.0624E+02      0.0000E+00      0.0000E+00      5.0457E-02      1.9995E+02   
   4.8050E-02      3.0684E+02      0.0000E+00      0.0000E+00      5.0687E-02      1.9995E+02   
   5.0139E-02      3.0744E+02      0.0000E+00      0.0000E+00      5.0939E-02      1.9995E+02   
   5.0874E-02      3.0765E+02      0.0000E+00      0.0000E+00      5.1032E-02      1.9995E+02   
