Results for node = 1
    time [m]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   6.6667E-02      2.9633E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   2.4167E-01      3.0508E+02      0.0000E+00      0.0000E+00      4.8682E-02      1.9995E+02   
   4.1667E-01      3.1383E+02      0.0000E+00      0.0000E+00      4.8705E-02      1.9995E+02   
   5.9167E-01      3.2258E+02      0.0000E+00      0.0000E+00      4.8773E-02      1.9995E+02   
   7.6667E-01      3.3133E+02      0.0000E+00      0.0000E+00      4.8944E-02      1.9995E+02   
   9.4167E-01      3.4008E+02      0.0000E+00      0.0000E+00      4.9338E-02      1.9995E+02   
   1.1167E+00      3.4883E+02      0.0000E+00      0.0000E+00      5.0192E-02      1.9995E+02   
   1.2917E+00      3.5758E+02      0.0000E+00      0.0000E+00      5.1943E-02      1.9995E+02   
   1.4667E+00      3.6633E+02      0.0000E+00      0.0000E+00      5.5382E-02      1.9994E+02   
   1.6417E+00      3.7508E+02      0.0000E+00      0.0000E+00      6.1881E-02      1.9994E+02   
   1.8167E+00      3.8383E+02      0.0000E+00      0.0000E+00      7.3748E-02      1.9993E+02   
   1.9917E+00      3.9258E+02      0.0000E+00      0.0000E+00      9.4744E-02      1.9991E+02   
   2.1667E+00      4.0133E+02      0.0000E+00      0.0000E+00      1.3082E-01      1.9987E+02   
   2.3417E+00      4.1008E+02      0.0000E+00      0.0000E+00      1.9109E-01      1.9981E+02   
   2.5167E+00      4.1883E+02      0.0000E+00      0.0000E+00      2.8915E-01      1.9971E+02   
   2.6917E+00      4.2758E+02      0.0000E+00      0.0000E+00      4.4459E-01      1.9956E+02   
   2.8667E+00      4.3633E+02      0.0000E+00      0.0000E+00      6.8472E-01      1.9932E+02   
   3.0351E+00      4.4475E+02      0.0000E+00      0.0000E+00      1.0318E+00      1.9897E+02   
   3.2120E+00      4.5360E+02      0.0000E+00      0.0000E+00      1.5724E+00      1.9843E+02   
   3.3928E+00      4.6264E+02      0.0000E+00      0.0000E+00      2.3758E+00      1.9762E+02   
   3.5778E+00      4.7189E+02      0.0000E+00      0.0000E+00      3.5483E+00      1.9645E+02   
   3.7468E+00      4.8034E+02      0.0000E+00      0.0000E+00      5.0179E+00      1.9498E+02   
   3.9341E+00      4.8971E+02      0.0000E+00      0.0000E+00      7.1984E+00      1.9280E+02   
   4.1391E+00      4.9995E+02      0.0000E+00      0.0000E+00      1.0380E+01      1.8962E+02   
   4.3560E+00      5.1080E+02      0.0000E+00      0.0000E+00      1.4798E+01      1.8520E+02   
   4.5700E+00      5.2150E+02      0.0000E+00      0.0000E+00      2.0322E+01      1.7968E+02   
   4.7515E+00      5.3057E+02      0.0000E+00      0.0000E+00      2.5961E+01      1.7404E+02   
   4.9816E+00      5.4208E+02      0.0000E+00      0.0000E+00      3.4391E+01      1.6561E+02   
   5.2484E+00      5.5542E+02      0.0000E+00      0.0000E+00      4.3009E+01      1.5699E+02   
   5.4622E+00      5.6611E+02      0.0000E+00      0.0000E+00      5.0775E+01      1.4923E+02   
   5.6422E+00      5.7511E+02      0.0000E+00      0.0000E+00      5.7898E+01      1.4210E+02   
   5.8696E+00      5.8648E+02      0.0000E+00      0.0000E+00      6.7710E+01      1.3229E+02   
   6.0618E+00      5.9609E+02      0.0000E+00      0.0000E+00      7.6755E+01      1.2324E+02   
   6.2291E+00      6.0445E+02      0.0000E+00      0.0000E+00      8.5225E+01      1.1478E+02   
   6.4239E+00      6.1419E+02      0.0000E+00      0.0000E+00      9.5825E+01      1.0418E+02   
   6.5946E+00      6.2273E+02      0.0000E+00      0.0000E+00      1.0580E+02      9.4205E+01   
   6.7828E+00      6.3214E+02      0.0000E+00      0.0000E+00      1.1756E+02      8.2444E+01   
   6.9497E+00      6.4048E+02      0.0000E+00      0.0000E+00      1.2868E+02      7.1317E+01   
   7.1284E+00      6.4942E+02      0.0000E+00      0.0000E+00      1.4135E+02      5.8647E+01   
   7.3139E+00      6.5869E+02      0.0000E+00      0.0000E+00      1.5536E+02      4.4640E+01   
   7.5027E+00      6.6813E+02      0.0000E+00      0.0000E+00      1.7053E+02      2.9469E+01   
   7.6721E+00      6.7661E+02      0.0000E+00      0.0000E+00      1.8496E+02      1.5039E+01   
   7.8446E+00      6.8523E+02      0.0000E+00      0.0000E+00      1.9892E+02      1.0775E+00   
   8.0128E+00      6.9364E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   8.1810E+00      7.0205E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   8.3493E+00      7.1046E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   8.5175E+00      7.1888E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   8.6858E+00      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   8.8541E+00      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   9.0223E+00      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   9.1906E+00      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   9.3589E+00      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   9.5271E+00      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   9.6954E+00      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   9.8636E+00      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.0032E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.0200E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.0368E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.0537E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.0705E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.0873E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.1042E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.1210E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.1378E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.1546E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.1715E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.1883E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.2051E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.2219E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
   1.2388E+01      7.2300E+02      0.0000E+00      0.0000E+00      2.0001E+02     -7.9391E-03   
