Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      6.9678E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.1873E+01      6.8980E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   1.2250E+02      6.7636E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.0325E+02      6.6290E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.8455E+02      6.4935E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   3.6652E+02      6.3569E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.4707E+02      6.2227E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   5.2829E+02      6.0873E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   6.1116E+02      5.9492E+02      2.9638E-02      9.7036E-01      1.9707E+02      7.9262E+00   
   6.9343E+02      5.8121E+02      4.4864E-02      9.5514E-01      1.7552E+02      2.9476E+01   
   7.7605E+02      5.6744E+02      5.2518E-02      9.4748E-01      1.5228E+02      5.2718E+01   
   8.6170E+02      5.5316E+02      4.9378E-02      9.5062E-01      1.3056E+02      7.4442E+01   
   9.4412E+02      5.4800E+02      1.0000E+00      0.0000E+00      1.2082E+02      8.4184E+01   
   1.0283E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1995E+02      8.5050E+01   
   1.1126E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1909E+02      8.5913E+01   
   1.1968E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1823E+02      8.6775E+01   
   1.2810E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1737E+02      8.7634E+01   
   1.3653E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1651E+02      8.8491E+01   
   1.4495E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1565E+02      8.9346E+01   
   1.5337E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1480E+02      9.0198E+01   
   1.6179E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1395E+02      9.1047E+01   
   1.7022E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1311E+02      9.1894E+01   
   1.7864E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1226E+02      9.2737E+01   
   1.8706E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1142E+02      9.3578E+01   
   1.9549E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.1058E+02      9.4415E+01   
   2.0391E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0975E+02      9.5249E+01   
   2.1233E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0892E+02      9.6080E+01   
   2.2075E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0809E+02      9.6907E+01   
   2.2918E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0727E+02      9.7730E+01   
   2.3760E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0645E+02      9.8550E+01   
   2.4602E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0563E+02      9.9366E+01   
   2.5445E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0482E+02      1.0018E+02   
   2.6287E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0401E+02      1.0099E+02   
   2.7129E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0321E+02      1.0179E+02   
   2.7971E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0241E+02      1.0259E+02   
   2.8814E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0162E+02      1.0338E+02   
   2.9656E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0082E+02      1.0418E+02   
   3.0498E+03      5.4800E+02      1.0000E+00      0.0000E+00      1.0004E+02      1.0496E+02   
   3.1341E+03      5.4800E+02      1.0000E+00      0.0000E+00      9.9256E+01      1.0574E+02   
   3.2183E+03      5.4800E+02      1.0000E+00      0.0000E+00      9.8479E+01      1.0652E+02   
   3.3025E+03      5.4800E+02      1.0000E+00      0.0000E+00      9.7707E+01      1.0729E+02   
   3.3867E+03      5.4800E+02      1.0000E+00      0.0000E+00      9.6939E+01      1.0806E+02   
   3.4710E+03      5.4800E+02      1.0000E+00      0.0000E+00      9.6177E+01      1.0882E+02   
   3.5552E+03      5.4800E+02      1.0000E+00      0.0000E+00      9.5419E+01      1.0958E+02   
   3.6394E+03      5.4800E+02      1.0000E+00      0.0000E+00      9.4667E+01      1.1033E+02   
   3.7237E+03      5.4800E+02      1.0000E+00      0.0000E+00      9.3920E+01      1.1108E+02   
   3.8079E+03      5.4800E+02      1.0000E+00      0.0000E+00      9.3178E+01      1.1182E+02   
   3.8921E+03      5.4800E+02      1.0000E+00      0.0000E+00      9.2441E+01      1.1256E+02   
