Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      6.9678E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.1873E+01      6.8980E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   1.2250E+02      6.7636E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.0325E+02      6.6290E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.8455E+02      6.4935E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   3.6652E+02      6.3569E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.4707E+02      6.2227E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   5.2829E+02      6.0873E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   6.1116E+02      5.9492E+02      2.9638E-02      9.7036E-01      1.9707E+02      7.9262E+00   
   6.9343E+02      5.8121E+02      4.4864E-02      9.5514E-01      1.7552E+02      2.9476E+01   
   7.7605E+02      5.6744E+02      5.2518E-02      9.4748E-01      1.5228E+02      5.2718E+01   
   8.5751E+02      5.6300E+02      5.2440E-01      4.7560E-01      1.4037E+02      6.4630E+01   
   9.4020E+02      5.6300E+02      1.0000E+00      0.0000E+00      1.3918E+02      6.5818E+01   
   1.0229E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.3805E+02      6.6955E+01   
   1.1056E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.3691E+02      6.8091E+01   
   1.1883E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.3577E+02      6.9228E+01   
   1.2710E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.3464E+02      7.0364E+01   
   1.3537E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.3350E+02      7.1500E+01   
   1.4364E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.3237E+02      7.2635E+01   
   1.5191E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.3123E+02      7.3768E+01   
   1.6018E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.3010E+02      7.4900E+01   
   1.6845E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.2897E+02      7.6030E+01   
   1.7672E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.2784E+02      7.7158E+01   
   1.8499E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.2672E+02      7.8282E+01   
   1.9326E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.2560E+02      7.9404E+01   
   2.0152E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.2448E+02      8.0523E+01   
   2.0979E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.2336E+02      8.1638E+01   
   2.1806E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.2225E+02      8.2749E+01   
   2.2633E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.2114E+02      8.3855E+01   
   2.3460E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.2004E+02      8.4958E+01   
   2.4287E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.1895E+02      8.6055E+01   
   2.5114E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.1785E+02      8.7147E+01   
   2.5941E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.1677E+02      8.8234E+01   
   2.6768E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.1569E+02      8.9315E+01   
   2.7595E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.1461E+02      9.0390E+01   
   2.8422E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.1354E+02      9.1459E+01   
   2.9249E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.1248E+02      9.2521E+01   
   3.0076E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.1142E+02      9.3576E+01   
   3.0903E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.1038E+02      9.4624E+01   
   3.1730E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.0933E+02      9.5666E+01   
   3.2557E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.0830E+02      9.6699E+01   
   3.3384E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.0728E+02      9.7725E+01   
   3.4211E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.0626E+02      9.8743E+01   
   3.5038E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.0525E+02      9.9752E+01   
   3.5865E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.0425E+02      1.0075E+02   
   3.6692E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.0325E+02      1.0175E+02   
   3.7519E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.0227E+02      1.0273E+02   
   3.8345E+03      5.6300E+02      1.0000E+00      0.0000E+00      1.0130E+02      1.0370E+02   
