Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      6.9678E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.1873E+01      6.8980E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   1.2250E+02      6.7636E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.0325E+02      6.6290E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.8455E+02      6.4935E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   3.6652E+02      6.3569E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.4707E+02      6.2227E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   5.2829E+02      6.0873E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   6.1116E+02      5.9492E+02      2.9638E-02      9.7036E-01      1.9707E+02      7.9262E+00   
   6.9343E+02      5.8121E+02      4.4864E-02      9.5514E-01      1.7552E+02      2.9476E+01   
   7.7594E+02      5.7800E+02      3.1223E-01      6.8777E-01      1.6224E+02      4.2762E+01   
   8.5907E+02      5.7800E+02      1.0000E+00      0.0000E+00      1.6056E+02      4.4444E+01   
   9.4220E+02      5.7800E+02      1.0000E+00      0.0000E+00      1.5932E+02      4.5677E+01   
   1.0253E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.5808E+02      4.6918E+01   
   1.1085E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.5683E+02      4.8167E+01   
   1.1916E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.5558E+02      4.9424E+01   
   1.2747E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.5431E+02      5.0687E+01   
   1.3579E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.5304E+02      5.1956E+01   
   1.4410E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.5177E+02      5.3230E+01   
   1.5241E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.5049E+02      5.4509E+01   
   1.6073E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.4921E+02      5.5792E+01   
   1.6904E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.4792E+02      5.7079E+01   
   1.7735E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.4663E+02      5.8368E+01   
   1.8566E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.4534E+02      5.9660E+01   
   1.9398E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.4405E+02      6.0954E+01   
   2.0229E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.4275E+02      6.2248E+01   
   2.1060E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.4146E+02      6.3544E+01   
   2.1892E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.4016E+02      6.4838E+01   
   2.2723E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.3887E+02      6.6133E+01   
   2.3554E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.3757E+02      6.7426E+01   
   2.4386E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.3628E+02      6.8716E+01   
   2.5217E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.3500E+02      7.0005E+01   
   2.6048E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.3371E+02      7.1290E+01   
   2.6880E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.3243E+02      7.2572E+01   
   2.7711E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.3115E+02      7.3849E+01   
   2.8542E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.2988E+02      7.5122E+01   
   2.9374E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.2861E+02      7.6389E+01   
   3.0205E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.2735E+02      7.7651E+01   
   3.1036E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.2609E+02      7.8906E+01   
   3.1868E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.2485E+02      8.0154E+01   
   3.2699E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.2361E+02      8.1395E+01   
   3.3530E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.2237E+02      8.2628E+01   
   3.4361E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.2115E+02      8.3852E+01   
   3.5193E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.1993E+02      8.5068E+01   
   3.6024E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.1873E+02      8.6274E+01   
   3.6855E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.1753E+02      8.7471E+01   
   3.7687E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.1634E+02      8.8657E+01   
   3.8518E+03      5.7800E+02      1.0000E+00      0.0000E+00      1.1517E+02      8.9833E+01   
