Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      6.9678E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.1873E+01      6.8980E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   1.2250E+02      6.7636E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.0325E+02      6.6290E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.8455E+02      6.4935E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   3.6652E+02      6.3569E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.4707E+02      6.2227E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   5.2829E+02      6.0873E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   6.1116E+02      5.9492E+02      2.9638E-02      9.7036E-01      1.9707E+02      7.9262E+00   
   6.9343E+02      5.8121E+02      4.4864E-02      9.5514E-01      1.7552E+02      2.9476E+01   
   7.7605E+02      5.6744E+02      5.2518E-02      9.4748E-01      1.5228E+02      5.2718E+01   
   8.6170E+02      5.5316E+02      4.9378E-02      9.5062E-01      1.3056E+02      7.4442E+01   
   9.4674E+02      5.3899E+02      3.9118E-02      9.6088E-01      1.1174E+02      9.3262E+01   
   1.0306E+03      5.3300E+02      1.0000E+00      0.0000E+00      1.0334E+02      1.0166E+02   
   1.1115E+03      5.3300E+02      1.0000E+00      0.0000E+00      1.0280E+02      1.0220E+02   
   1.1924E+03      5.3300E+02      1.0000E+00      0.0000E+00      1.0226E+02      1.0274E+02   
   1.2733E+03      5.3300E+02      1.0000E+00      0.0000E+00      1.0172E+02      1.0328E+02   
   1.3543E+03      5.3300E+02      1.0000E+00      0.0000E+00      1.0119E+02      1.0381E+02   
   1.4352E+03      5.3300E+02      1.0000E+00      0.0000E+00      1.0065E+02      1.0435E+02   
   1.5162E+03      5.3300E+02      1.0000E+00      0.0000E+00      1.0012E+02      1.0488E+02   
   1.5972E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.9593E+01      1.0541E+02   
   1.6781E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.9065E+01      1.0594E+02   
   1.7591E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.8538E+01      1.0646E+02   
   1.8401E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.8013E+01      1.0699E+02   
   1.9211E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.7489E+01      1.0751E+02   
   2.0021E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.6967E+01      1.0803E+02   
   2.0832E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.6447E+01      1.0855E+02   
   2.1642E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.5929E+01      1.0907E+02   
   2.2452E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.5412E+01      1.0959E+02   
   2.3263E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.4898E+01      1.1010E+02   
   2.4073E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.4385E+01      1.1062E+02   
   2.4884E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.3873E+01      1.1113E+02   
   2.5695E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.3364E+01      1.1164E+02   
   2.6506E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.2857E+01      1.1214E+02   
   2.7316E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.2351E+01      1.1265E+02   
   2.8127E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.1847E+01      1.1315E+02   
   2.8939E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.1346E+01      1.1365E+02   
   2.9750E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.0846E+01      1.1415E+02   
   3.0561E+03      5.3300E+02      1.0000E+00      0.0000E+00      9.0348E+01      1.1465E+02   
   3.1372E+03      5.3300E+02      1.0000E+00      0.0000E+00      8.9853E+01      1.1515E+02   
   3.2184E+03      5.3300E+02      1.0000E+00      0.0000E+00      8.9359E+01      1.1564E+02   
   3.2995E+03      5.3300E+02      1.0000E+00      0.0000E+00      8.8867E+01      1.1613E+02   
   3.3807E+03      5.3300E+02      1.0000E+00      0.0000E+00      8.8378E+01      1.1662E+02   
   3.4618E+03      5.3300E+02      1.0000E+00      0.0000E+00      8.7890E+01      1.1711E+02   
   3.5430E+03      5.3300E+02      1.0000E+00      0.0000E+00      8.7405E+01      1.1760E+02   
   3.6242E+03      5.3300E+02      1.0000E+00      0.0000E+00      8.6921E+01      1.1808E+02   
   3.7054E+03      5.3300E+02      1.0000E+00      0.0000E+00      8.6440E+01      1.1856E+02   
   3.7866E+03      5.3300E+02      1.0000E+00      0.0000E+00      8.5961E+01      1.1904E+02   
