Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      6.9678E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.1873E+01      6.8980E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   1.2250E+02      6.7636E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.0325E+02      6.6290E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.8455E+02      6.4935E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   3.6652E+02      6.3569E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.4707E+02      6.2227E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   5.2829E+02      6.0873E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   6.1116E+02      5.9492E+02      2.9638E-02      9.7036E-01      1.9707E+02      7.9262E+00   
   6.9137E+02      5.9300E+02      1.7890E-01      8.2110E-01      1.8635E+02      1.8651E+01   
   7.7181E+02      5.9300E+02      9.5689E-01      4.3105E-02      1.8416E+02      2.0844E+01   
   8.5225E+02      5.9300E+02      1.0000E+00      0.0000E+00      1.8328E+02      2.1723E+01   
   9.3268E+02      5.9300E+02      1.0000E+00      0.0000E+00      1.8238E+02      2.2618E+01   
   1.0131E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.8147E+02      2.3530E+01   
   1.0936E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.8054E+02      2.4457E+01   
   1.1740E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.7960E+02      2.5399E+01   
   1.2544E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.7864E+02      2.6356E+01   
   1.3349E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.7767E+02      2.7328E+01   
   1.4153E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.7669E+02      2.8314E+01   
   1.4957E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.7569E+02      2.9314E+01   
   1.5762E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.7467E+02      3.0327E+01   
   1.6566E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.7365E+02      3.1353E+01   
   1.7371E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.7261E+02      3.2391E+01   
   1.8175E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.7156E+02      3.3441E+01   
   1.8979E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.7050E+02      3.4503E+01   
   1.9784E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.6942E+02      3.5575E+01   
   2.0588E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.6834E+02      3.6658E+01   
   2.1392E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.6725E+02      3.7751E+01   
   2.2197E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.6615E+02      3.8853E+01   
   2.3001E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.6504E+02      3.9964E+01   
   2.3806E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.6392E+02      4.1084E+01   
   2.4610E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.6279E+02      4.2211E+01   
   2.5414E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.6165E+02      4.3346E+01   
   2.6219E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.6051E+02      4.4488E+01   
   2.7023E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.5936E+02      4.5635E+01   
   2.7827E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.5821E+02      4.6789E+01   
   2.8632E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.5705E+02      4.7947E+01   
   2.9436E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.5589E+02      4.9110E+01   
   3.0241E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.5472E+02      5.0277E+01   
   3.1045E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.5355E+02      5.1447E+01   
   3.1849E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.5238E+02      5.2620E+01   
   3.2654E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.5120E+02      5.3796E+01   
   3.3458E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.5003E+02      5.4973E+01   
   3.4262E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.4885E+02      5.6151E+01   
   3.5067E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.4767E+02      5.7330E+01   
   3.5871E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.4649E+02      5.8509E+01   
   3.6676E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.4531E+02      5.9687E+01   
   3.7480E+03      5.9300E+02      1.0000E+00      0.0000E+00      1.4414E+02      6.0865E+01   
