Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      6.9678E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.1873E+01      6.8980E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   1.2250E+02      6.7636E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.0325E+02      6.6290E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.8455E+02      6.4935E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   3.6652E+02      6.3569E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.4707E+02      6.2227E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   5.2829E+02      6.0873E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   6.1116E+02      5.9492E+02      2.9638E-02      9.7036E-01      1.9707E+02      7.9262E+00   
   6.9343E+02      5.8121E+02      4.4864E-02      9.5514E-01      1.7552E+02      2.9476E+01   
   7.7480E+02      5.7300E+02      1.4793E-01      8.5207E-01      1.5636E+02      4.8637E+01   
   8.5489E+02      5.7300E+02      1.0000E+00      0.0000E+00      1.5364E+02      5.1362E+01   
   9.3499E+02      5.7300E+02      1.0000E+00      0.0000E+00      1.5245E+02      5.2554E+01   
   1.0151E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.5125E+02      5.3751E+01   
   1.0952E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.5005E+02      5.4953E+01   
   1.1753E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.4884E+02      5.6158E+01   
   1.2554E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.4763E+02      5.7368E+01   
   1.3355E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.4642E+02      5.8580E+01   
   1.4156E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.4521E+02      5.9794E+01   
   1.4957E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.4399E+02      6.1011E+01   
   1.5758E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.4277E+02      6.2229E+01   
   1.6559E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.4155E+02      6.3449E+01   
   1.7360E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.4033E+02      6.4669E+01   
   1.8160E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.3911E+02      6.5889E+01   
   1.8961E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.3789E+02      6.7109E+01   
   1.9762E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.3667E+02      6.8328E+01   
   2.0563E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.3545E+02      6.9546E+01   
   2.1364E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.3424E+02      7.0762E+01   
   2.2165E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.3302E+02      7.1975E+01   
   2.2966E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.3181E+02      7.3186E+01   
   2.3767E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.3061E+02      7.4394E+01   
   2.4568E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.2940E+02      7.5599E+01   
   2.5369E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.2820E+02      7.6799E+01   
   2.6170E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.2701E+02      7.7995E+01   
   2.6971E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.2581E+02      7.9186E+01   
   2.7772E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.2463E+02      8.0372E+01   
   2.8573E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.2345E+02      8.1552E+01   
   2.9374E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.2227E+02      8.2726E+01   
   3.0175E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.2111E+02      8.3893E+01   
   3.0976E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.1995E+02      8.5053E+01   
   3.1777E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.1879E+02      8.6207E+01   
   3.2578E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.1765E+02      8.7352E+01   
   3.3379E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.1651E+02      8.8490E+01   
   3.4180E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.1538E+02      8.9619E+01   
   3.4981E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.1426E+02      9.0740E+01   
   3.5782E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.1315E+02      9.1851E+01   
   3.6583E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.1205E+02      9.2953E+01   
   3.7384E+03      5.7300E+02      1.0000E+00      0.0000E+00      1.1095E+02      9.4046E+01   
