Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      6.9678E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.1873E+01      6.8980E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   1.2250E+02      6.7636E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.0325E+02      6.6290E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.8455E+02      6.4935E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   3.6652E+02      6.3569E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.4707E+02      6.2227E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   5.2829E+02      6.0873E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   6.1116E+02      5.9492E+02      2.9638E-02      9.7036E-01      1.9707E+02      7.9262E+00   
   6.9343E+02      5.8121E+02      4.4864E-02      9.5514E-01      1.7552E+02      2.9476E+01   
   7.7605E+02      5.6744E+02      5.2518E-02      9.4748E-01      1.5228E+02      5.2718E+01   
   8.6170E+02      5.5316E+02      4.9378E-02      9.5062E-01      1.3056E+02      7.4442E+01   
   9.4674E+02      5.3899E+02      3.9118E-02      9.6088E-01      1.1174E+02      9.3262E+01   
   1.0269E+03      5.2562E+02      2.8262E-02      9.7174E-01      9.6514E+01      1.0849E+02   
   1.1120E+03      5.2300E+02      1.0000E+00      0.0000E+00      9.2579E+01      1.1242E+02   
   1.1964E+03      5.2300E+02      1.0000E+00      0.0000E+00      9.2182E+01      1.1282E+02   
   1.2808E+03      5.2300E+02      1.0000E+00      0.0000E+00      9.1786E+01      1.1321E+02   
   1.3652E+03      5.2300E+02      1.0000E+00      0.0000E+00      9.1391E+01      1.1361E+02   
   1.4496E+03      5.2300E+02      1.0000E+00      0.0000E+00      9.0997E+01      1.1400E+02   
   1.5341E+03      5.2300E+02      1.0000E+00      0.0000E+00      9.0605E+01      1.1440E+02   
   1.6185E+03      5.2300E+02      1.0000E+00      0.0000E+00      9.0213E+01      1.1479E+02   
   1.7029E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.9822E+01      1.1518E+02   
   1.7874E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.9433E+01      1.1557E+02   
   1.8718E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.9044E+01      1.1596E+02   
   1.9563E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.8657E+01      1.1634E+02   
   2.0408E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.8271E+01      1.1673E+02   
   2.1252E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.7886E+01      1.1711E+02   
   2.2097E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.7502E+01      1.1750E+02   
   2.2942E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.7119E+01      1.1788E+02   
   2.3787E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.6737E+01      1.1826E+02   
   2.4632E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.6357E+01      1.1864E+02   
   2.5477E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.5978E+01      1.1902E+02   
   2.6322E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.5600E+01      1.1940E+02   
   2.7167E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.5223E+01      1.1978E+02   
   2.8013E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.4847E+01      1.2015E+02   
   2.8858E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.4472E+01      1.2053E+02   
   2.9703E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.4099E+01      1.2090E+02   
   3.0549E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.3727E+01      1.2127E+02   
   3.1394E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.3356E+01      1.2164E+02   
   3.2240E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.2987E+01      1.2201E+02   
   3.3086E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.2618E+01      1.2238E+02   
   3.3931E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.2251E+01      1.2275E+02   
   3.4777E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.1885E+01      1.2311E+02   
   3.5623E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.1521E+01      1.2348E+02   
   3.6469E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.1157E+01      1.2384E+02   
   3.7315E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.0795E+01      1.2420E+02   
   3.8161E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.0434E+01      1.2457E+02   
   3.9007E+03      5.2300E+02      1.0000E+00      0.0000E+00      8.0075E+01      1.2492E+02   
